county_name,county_pop2000,statename,stateabbrv,racial_segregation,inequality,poverty_rate,top_1per_income_share,frac_middleclass,unemp_rate,pop_change_80_2000,migration_inflow,migration_outflow,mean_household_income,median_house_value,percent_college_degree,crime_rate
Autauga,43671,Alabama,AL,0.1282159,0.3799757,0.1092284,0.06143,0.5195,0.0373794,0.3537617,0.057040141,0.051017838,34379.54,126368.4,18,0.0093531
Baldwin,140415,Alabama,AL,0.1005492,0.4897381,0.1014709,0.12719,0.49911,0.0391124,0.787451,0.04485988,0.023537371,39219.6,163292.5,23.1,0.007371
Barbour,29038,Alabama,AL,0.0399931,0.4906366,0.267998,0.09734,0.40833,0.0681317,0.1729682,0.016564502,0.023073214,24274.2,91443.8,10.9,0.0077485
Bibb,20826,Alabama,AL,0.1035498,0.4170978,0.206075,0.06622,0.46136,0.0616393,0.3245564,0.035820609,0.029338327,24927.52,99441.8,7.1,0.0045136
Blount,51024,Alabama,AL,0.0797027,0.3330419,0.1174281,0.06281,0.59722,0.0328471,0.3994898,0.038824867,0.033572437,30229.86,115704.4,9.6,0.0020187
Bullock,11714,Alabama,AL,0.0471572,0.4621815,0.3348412,0.14885,0.3463,0.0908166,0.1055115,0.009219737,0.018524842,18084.56,75447.8,7.7,0.0031586
Butler,21399,Alabama,AL,0.0926762,0.4988843,0.2461808,0.11457,0.37678,0.0686004,-0.0129613,0.014112809,0.017570915,30493.45,76914.1,10.4,0.0046264
Calhoun,112249,Alabama,AL,0.2080907,0.4308186,0.1611126,0.10314,0.53681,0.0501403,-0.0627249,0.020980142,0.021692844,31739.22,95442.8,15.2,0.0087804
Chambers,36583,Alabama,AL,0.0824692,0.4217112,0.1703605,0.10488,0.50302,0.0494312,-0.0665459,0.023480852,0.027417106,28871.58,78513.7,9.5,0.0069431
Cherokee,23988,Alabama,AL,0.0141701,0.4047915,0.1555866,0.10685,0.51245,0.041401,0.278678,0.025262631,0.022594631,28795.93,101441.3,9.7,0.0037948
Chilton,39593,Alabama,AL,0.0744359,0.3909757,0.1570229,0.06643,0.52105,0.0436641,0.2933817,0.02684818,0.022428207,28448.61,109039.4,9.9,0.005304
Choctaw,15922,Alabama,AL,0.1426055,0.4696517,0.2451392,0.07383,0.38282,0.0649417,-0.0544569,0.006845874,0.014947871,27724.39,80646.5,9.6,0.0025122
Clarke,27867,Alabama,AL,0.0353558,0.4640328,0.2258816,0.07472,0.42316,0.0893002,0.0059562,0.014353895,0.02052607,28073.51,90510.7,12.1,0.0073923
Clay,14254,Alabama,AL,0.0611635,0.3840202,0.1710893,0.06498,0.49074,0.055296,0.0402102,0.014802862,0.022730462,26455.26,82912.6,7.8,0.0034376
Cleburne,14123,Alabama,AL,0.1010351,0.295785,0.1394602,0.0385,0.62272,0.0476804,0.121318,0.028251788,0.030163563,27411.09,95042.9,9.2,0.0038944
Coffee,43615,Alabama,AL,0.1122845,0.448529,0.1469591,0.1181,0.51354,0.0564018,0.131887,0.041293133,0.036592915,33960.36,102107.8,19.3,0.0072603
Colbert,54984,Alabama,AL,0.0881093,0.4249595,0.1395999,0.07905,0.50655,0.0625484,0.0085291,0.024952714,0.024443475,33145.2,96375.9,14.1,0.002819
Conecuh,14089,Alabama,AL,0.028252,0.4826638,0.2658898,0.14462,0.40945,0.066629,-0.1130068,0.014408404,0.028532898,25457.96,78113.8,9.2,0.0053233
Coosa,12202,Alabama,AL,0.1725112,0.331035,0.1493044,0.0745,0.47046,0.0617746,0.0725147,0.041796427,0.046877561,27354.18,79313.5,8,0.0048353
