job_type,description,year,All,Women,Black,Asian,Hispanic.Latino
total,"Total, 16 years and over",2020,147795.00,46.80,12.10,6.40,17.60
professional,Professional and related occupations,2020,36502.00,57.00,10.50,10.10,10.10
computer_all,Computer and mathematical occupations,2020,5603.00,25.20,9.10,23.00,8.40
computer,Computer and information research scientists,2020,42.00,NA,NA,NA,NA
computer,Computer systems analysts,2020,594.00,35.60,9.70,18.70,8.10
computer,Information security analysts,2020,137.00,11.40,11.90,6.90,15.80
computer,Computer programmers,2020,417.00,21.10,6.30,28.30,6.60
computer,Software developers,2020,1883.00,19.40,6.20,34.10,5.90
computer,Software quality assurance analysts and testers,2020,82.00,25.10,12.00,29.60,9.20
computer,Web developers,2020,104.00,27.80,3.70,16.20,5.90
computer,Web and digital interface designers,2020,70.00,44.80,5.90,9.90,15.80
computer,Computer support specialists,2020,660.00,25.90,13.00,10.70,11.60
computer,Database administrators and architects,2020,121.00,28.80,5.90,30.10,5.60
computer,Network and computer systems administrators,2020,238.00,19.80,9.00,11.80,7.80
computer,Computer network architects,2020,107.00,9.30,14.80,15.50,16.10
computer,"Computer occupations, all other",2020,792.00,28.00,13.30,15.80,11.20
computer,Actuaries,2020,32.00,NA,NA,NA,NA
computer,Mathematicians,2020,3.00,NA,NA,NA,NA
computer,Operations research analysts,2020,156.00,42.90,13.60,8.60,9.50
computer,Statisticians,2020,61.00,50.30,7.90,28.00,2.00
computer,Other mathematical science occupations,2020,103.00,37.80,9.30,25.70,6.20
total,"Total, 16 years and over",2015,148834.00,46.80,11.70,5.80,16.40
professional,Professional and related occupations,2015,33852.00,57.20,9.80,8.70,8.80
computer_all,Computer and mathematical occupations,2015,4369.00,24.70,8.60,19.90,6.80
computer,Computer and information research scientists,2015,24.00,NA,NA,NA,NA
computer,Computer systems analysts,2015,552.00,34.20,9.60,19.60,6.90
computer,Information security analysts,2015,70.00,19.70,3.00,3.40,5.20
computer,Computer programmers,2015,480.00,21.00,7.00,18.90,6.90
computer,"Software developers, applications and systems software",2015,1353.00,17.90,5.00,33.80,5.40
computer,Web developers,2015,204.00,34.30,9.10,9.60,6.20
computer,Computer support specialists,2015,475.00,26.40,12.50,9.60,8.40
computer,Database administrators,2015,93.00,38.00,6.20,9.60,2.10
computer,Network and computer systems administrators,2015,218.00,15.90,11.50,10.40,9.40
computer,Computer network architects,2015,114.00,12.10,8.90,16.50,6.50
computer,"Computer occupations, all other",2015,547.00,24.30,11.80,12.00,9.50
computer,Actuaries,2015,21.00,NA,NA,NA,NA
computer,Mathematicians,2015,6.00,NA,NA,NA,NA
computer,Operations research analysts,2015,123.00,50.70,15.30,10.20,9.30
computer,Statisticians,2015,86.00,52.90,12.40,11.40,3.70
computer,Miscellaneous mathematical science occupations,2015,4.00,NA,NA,NA,NA
computer,Computer hardware engineers,2015,72.00,12.80,12.10,23.40,11.00
computer,Other mathematical science occupations,2015,245.00,49.20,12.30,21.60,7.90
total,"Total, 16 years and over",2010,139064.00,47.20,10.80,4.80,14.30
professional,Professional and related occupations,2010,30805.00,57.40,9.20,7.00,7.10
computer_all,Computer and mathematical occupations,2010,3531.00,25.80,6.70,16.10,5.50
computer,Computer scientists and systems analysts,2010,784.00,30.50,7.30,14.90,5.10
computer,Computer programmers,2010,470.00,22.00,5.10,12.40,6.50
computer,Computer software engineers,2010,1026.00,20.90,5.10,28.00,3.90
computer,Computer support specialists,2010,388.00,27.60,11.30,7.90,6.90
computer,Database administrators,2010,101.00,36.40,9.00,11.80,8.60
computer,Network and computer systems administrators,2010,229.00,16.50,5.60,9.40,6.00
computer,Network systems and data communications analysts,2010,366.00,26.20,6.60,7.40,6.70
computer,Actuaries,2010,25.00,NA,NA,NA,NA
computer,Mathematicians,2010,5.00,NA,NA,NA,NA
computer,Operations research analysts,2010,107.00,46.20,10.70,5.80,8.40
computer,Statisticians,2010,28.00,NA,NA,NA,NA
computer,Miscellaneous mathematical science occupations,2010,3.00,NA,NA,NA,NA
computer,Computer hardware engineers,2010,70.00,10.30,3.10,26.70,7.30
total,"Total, 16 years and over",2005,141730.00,46.40,10.80,4.40,13.10
professional,Professional and related occupations ,2005,28795.00,56.30,8.80,6.60,6.40
computer_all,Computer and mathematical occupations,2005,3246.00,27.00,6.90,14.70,5.30
computer,Computer scientists and systems analysts,2005,745.00,30.30,8.30,11.40,4.80
computer,Computer programmers,2005,581.00,26.00,4.60,18.00,5.70
computer,Computer software engineers,2005,832.00,21.90,5.00,24.60,3.90
computer,Computer support specialists ,2005,334.00,33.20,9.10,5.50,9.70
computer,Database administrators,2005,89.00,32.30,13.10,6.30,5.10
computer,Network and computer systems administrators,2005,200.00,18.40,4.90,10.40,4.80
computer,Network systems and data communications analysts,2005,322.00,24.60,9.30,9.40,6.60
computer,Operations research analysts ,2005,86.00,50.50,10.10,6.20,2.30
computer,Computer hardware engineers  ,2005,81.00,10.80,8.40,23.10,5.50
