Model,Displ,Cyl,Drive,Veh.Class,Air.Pollution.Score,City.MPG,Hwy.MPG,Greenhouse.Gas.Score,Comb.CO2
ACURA ILX,2.4,4,2WD,small car,3,24,34,6,316
ACURA MDX,3.5,6,2WD,small SUV,5,19,26,5,411
ACURA MDX,3.5,6,4WD,small SUV,5,19,25,4,423
ACURA MDX Type-S,3,6,4WD,standard SUV,5,17,21,4,474
ACURA NSX,3.5,6,4WD,small car,3,21,22,4,420
ACURA RDX,2,4,2WD,small SUV,6,22,28,5,370
ACURA RDX,2,4,4WD,small SUV,6,21,27,5,385
ACURA RDX A-SPEC,2,4,2WD,small SUV,6,22,27,5,375
ACURA RDX A-SPEC,2,4,4WD,small SUV,6,21,26,5,388
ACURA TLX,2,4,2WD,small car,7,22,31,5,352
ACURA TLX,2,4,4WD,small car,7,21,29,5,369
ACURA TLX AWD A-SPEC,2,4,4WD,small car,7,21,29,5,371
ACURA TLX FWD A-SPEC,2,4,2WD,small car,7,22,30,5,357
ACURA TLX Type-S,3,6,4WD,small car,5,19,25,4,420
ACURA TLX Type-S Perf Tire,3,6,4WD,small car,5,19,24,4,421
ALFA ROMEO Giulia,2,4,2WD,midsize car,5,24,33,6,330
ALFA ROMEO Giulia,2,4,2WD,midsize car,3,24,33,6,330
ALFA ROMEO Giulia,2.9,6,2WD,midsize car,3,17,25,4,436
ALFA ROMEO Giulia AWD,2,4,4WD,midsize car,5,23,31,5,348
ALFA ROMEO Giulia AWD,2,4,4WD,midsize car,3,23,31,5,348
ALFA ROMEO Stelvio,2,4,2WD,small SUV,5,22,29,5,359
ALFA ROMEO Stelvio,2,4,2WD,small SUV,3,22,29,5,359
ALFA ROMEO Stelvio AWD,2,4,4WD,small SUV,5,22,28,5,364
ALFA ROMEO Stelvio AWD,2,4,4WD,small SUV,3,22,28,5,364
ALFA ROMEO Stelvio AWD,2.9,6,4WD,small SUV,3,17,23,4,463
ASTON MARTIN DB11 V12,5.2,12,2WD,small car,3,14,22,3,522
ASTON MARTIN DB11 V8,4,8,2WD,small car,5,18,24,4,431
ASTON MARTIN DBS,5.2,12,2WD,small car,3,14,22,3,522
ASTON MARTIN DBX V8,4,8,4WD,standard SUV,5,14,20,3,556
ASTON MARTIN Vantage,4,8,2WD,small car,5,18,24,4,435
