"set_num","name","year","num_parts","theme"
"0011-2","Town Mini-Figures",1978,12,"Classic Town"
"0012-1","Space Mini-Figures",1979,12,"Space"
"0013-1","Space Mini-Figures",1979,12,"Space"
"0014-1","Space Mini-Figures",1979,12,"Space"
"0015-1","Space Mini-Figures",1979,18,"Space"
"005-1","Basic Building Set in Cardboard",1965,35,"Classic"
"010-1","Basic Building Set in Cardboard",1965,57,"Classic"
"010-3","Basic Building Set",1968,77,"Classic"
"011-1","Basic Building Set",1968,145,"Classic"
"022-1","Basic Building Set",1968,110,"Classic"
"033-2","Basic Building Set",1968,177,"Classic"
"044-1","Basic Building Set",1968,225,"Classic"
"055-2","Basic Building Set",1968,256,"Classic"
"066-1","Basic Building Set",1968,407,"Classic"
"080-1","Basic Building Set with Train",1967,710,"Classic"
"088-1","Super Set",1969,615,"Universal Building Set"
"10018-1","Darth Maul",2001,1868,"Star Wars"
"10023-1","Master Builder Set",2002,112,"Bionicle"
"10036-1","Pizza To Go",2002,150,"Classic Town"
"10037-1","Breezeway Cafe",2002,194,"Classic Town"
"10041-1","Main Street, Reissue",2003,639,"Classic Town"
"10123-1","Cloud City",2003,707,"Star Wars"
"10131-1","TIE Fighter Collection",2004,688,"Star Wars"
"10144-1","Sandcrawler",2005,1679,"Star Wars"
"10156-1","LEGO Truck",2004,105,"Classic Town"
"10159-1","City Airport -City Logo Box",2004,913,"City"
"10159-2","City Airport -Full Size Image Box",2004,913,"Classic Town"
"10178-1","Motorized Walking AT-AT",2007,1137,"Star Wars"
"10195-1","Republic Dropship with AT-OT",2009,1757,"Star Wars"
"10198-1","Tantive IV",2009,1408,"Star Wars"
"10-2","Universal Building Set",1976,129,"Universal Building Set"
"10201-1","Takutanuva",2003,3,"Bionicle"
"10202-1","Ultimate Dume (Limited Edition with Exclusive Mask Of Power)",2004,6,"Bionicle"
"10202-2","Ultimate Dume",2004,3,"Bionicle"
"10203-1","Voporak",2005,3,"Bionicle"
"10204-1","Vezon & Kardas",2006,3,"Bionicle"
"10225-1","R2-D2",2012,2130,"Star Wars"
"10236-1","Ewok Village",2013,2023,"Star Wars"
"10241-1","Maersk Line Triple-E",2014,1515,"Creator"
"10242-1","Mini Cooper",2014,1074,"Creator"
"10242-2","Mini Cooper",2015,1076,"Creator"
"10244-1","Fairground Mixer",2014,1743,"Creator"
"10247-1","Ferris Wheel",2015,2463,"Creator"
"10248-1","Ferrari F40",2015,1157,"Creator"
"10250-1","Year Of The Snake",2013,244,"Creator"
"10252-1","Volkswagen Beetle",2016,1166,"Creator"
"10257-1","Carousel",2017,2669,"Creator"
"1029-1","Milk Delivery Truck - Tine",1999,90,"Classic Town"
"1030-1","TECHNIC I: Simple Machines Set",1985,189,"Technic"
"103-1","4.5V Motor Set with Rubber Tracks",1969,24,"Universal Building Set"
"1031-1","Building Cards - 1030",1983,20,"Technic"
"1032-1","TECHNIC II Set {4.5v}",1985,278,"Technic"
"1033-1","Building Cards - 1032",1985,20,"Technic"
"1034-1","Teachers Resource Set",1985,1534,"Technic"
"1038-1","ERBIE the Robo-Car",1985,120,"Technic"
"1039-1","Manual Control Set 1",1986,39,"Technic"
"105-1","Canada Post Truck",1984,65,"Classic Town"
"105-2","Building Set",1973,150,"Universal Building Set"
"1054-1","Stena Line Ferry",1999,211,"Universal Building Set"
"106-1","UNICEF Van",1985,59,"Classic Town"
"1061-1","Single Disk Pack",2000,1,"Technic"
"10654-1","XL Creative Brick Box",2016,1599,"Classic"
"10655-1","Monster Trucks",2013,197,"Creator"
"10656-1","My First LEGO Princess",2013,88,"Creator"
"10657-1","My First LEGO Set",2013,148,"Creator"
"10659-1","Blue Suitcase",2013,152,"Creator"
"10660-1","Pink Suitcase",2013,157,"Creator"
"10661-1","My First LEGO Fire Station",2013,90,"Creator"
"10662-1","LEGO Creative Bucket",2013,607,"Creator"
"10663-1","LEGO Creative Chest",2013,607,"Creator"
"10664-1","Creative Tower",2013,1599,"Creator"
"10681-1","Creative Building Cube",2014,599,"Creator"
"10682-1","Creative Suitcase",2014,1016,"Creator"
"1069-1","Speedboat",1999,22,"Classic Town"
"10692-1","Creative Bricks",2015,220,"Classic"
"10693-1","Creative Supplement",2015,302,"Classic"
"10693-1-s1","Rocket",2015,12,"Classic"
"10694-1","Creative Supplement Bright",2015,302,"Classic"
"10695-1","Creative Building Box",2015,579,"Classic"
"10696-1","Medium Creative Brick Box",2015,483,"Classic"
"10697-1","XXXL Box",2015,1499,"Classic"
"10698-1","Large Creative Brick Box",2015,789,"Classic"
"10699-1","Sand Baseplate",2015,1,"Classic"
"10700-1","Green Baseplate",2015,1,"Classic"
"10701-1","Gray Baseplate",2015,1,"Classic"
"10702-1","Creative Building Set",2016,582,"Classic"
"10703-1","Creative Builder Box",2017,499,"Classic"
"10704-1","Creative Box",2017,900,"Classic"
"10705-1","Creative Building Basket",2016,999,"Classic"
"10706-1","Blue Creative Box",2017,78,"Classic"
"10707-1","Red Creative Box",2017,55,"Classic"
"10708-1","Green Creative Box",2017,66,"Classic"
"10709-1","Orange Creative Box",2017,60,"Classic"
"107-1","4.5V Motor Set",1976,31,"Universal Building Set"
"107-2","Canada Post Mail Truck",1985,138,"Classic Town"
"1090-1","TECHNIC Control I",1986,397,"Technic"
"1092-1","TECHNIC Control II",1986,467,"Technic"
"1096-1","Race Buggy",1997,23,"Classic Town"
"1100-1","Sky Pirates",2001,110,"Classic Town"
"110-1","Universal Building Set",1977,129,"Universal Building Set"
"1106-2","Basic Building Set",1999,413,"Universal Building Set"
"1-11","Basic Souvenir Box",1981,36,"Universal Building Set"
"111-1","Universal Building Set",1977,173,"Universal Building Set"
"112-1","Universal Building Set",1977,200,"Universal Building Set"
"1129-1","Storage Cloth (Spread Bag)",1980,1,"Universal Building Set"
"113-1","Universal Building Set",1977,293,"Universal Building Set"
"114-1","Universal Building Set",1977,390,"Universal Building Set"
"115-1","Building Set",1973,190,"Universal Building Set"
"1168-1","Battery Box",1986,1,"Technic"
"11910-1","Micro-Scale Space Cruiser",2015,102,"Space"
"11912-1","LEGO Star Wars: Build Your Own Adventure",2016,73,"Star Wars"
"1194-1","Classic Building Table",1999,408,"Universal Building Set"
"1195-1","Alien Encounter",2001,42,"Space"
"1200-1","LEGO Town Plan Board, Large Plastic",1955,1,"Classic"
"1200-2","LEGO Town Plan Board, Small Plastic",1956,1,"Classic"
"1200M-1","LEGO Town Plan Wooden Board",1957,1,"Classic"
"120438-1","Basic Building Set",1985,176,"Universal Building Set"
"1210-2","Small Store Set",1955,30,"Classic"
"1211-2","Small House Set",1955,19,"Classic"
"1212-2","Small House - Left Set",1955,21,"Classic"
"1213-2","Small House - Right Set",1955,23,"Classic"
"1214-2","Windows and Doors",1955,24,"Classic"
"1215-2","2 x 8 & 2 x 10 Bricks",1955,20,"Classic"
"1216-2","4 x 4 Corner Bricks",1955,20,"Classic"
"1217-2","2 x 4 Bricks",1955,52,"Classic"
"1218-2","2 x 3 Bricks",1955,60,"Classic"
"1219-2","2 x 2 Bricks",1955,80,"Classic"
"1220-2","1 x 2 Bricks",1955,104,"Classic"
"1221-2","1 x 1 Bricks",1955,160,"Classic"
"1222-2","1 x 1 Round Bricks",1955,200,"Classic"
"1223-2","2 x 2 & 2 x 4 Curved Bricks",1955,14,"Classic"
"1223-3","2 x 2 Curved Bricks",1957,100,"Classic"
"1224.1-1","8 Danish Named Beams",1955,8,"Classic"
"1224-2","8 Named Beams",1955,8,"Classic"
"1224A-1","1 x 6 and 1 x 8 Bricks",1955,36,"Classic"
"1225-2","Mixed Plates Parts Pack",1955,12,"Classic"
"1226-2","6 x 8 & 2 x 8 Plates",1956,4,"Classic"
"1227-2","4 x 8 & 2 x 8 Plates",1956,5,"Classic"
"1228-2","4 x 8 Curved & 2 x 8 Plates",1956,5,"Classic"
"1230-2","Windows and Door without Glass",1955,7,"Classic"
"1231-2","Windows and Door with Glass, Red",1956,10,"Classic"
"1231-3","Windows and Door with Glass, White",1956,10,"Classic"
"1233-2","Light Masts",1958,4,"Classic"
"1235-2","Garage Plate and Door",1955,3,"Classic"
