year.range,year,bach.total,bach.change,bach.males,bach.females,bach.female.percent,master.total,master.males,master.females,doctor.total,doctor.males,doctor.females
1964-65,1964,87.00,†,83.00,4.00,4.60,146.00,140.00,6.00,6.00,5.00,1.00
1965-66,1965,89.00,2.30,76.00,13.00,14.60,238.00,221.00,17.00,19.00,19.00,0.00
1966-67,1966,222.00,149.40,198.00,24.00,10.80,449.00,423.00,26.00,38.00,37.00,1.00
1967-68,1967,459.00,106.80,404.00,55.00,12.00,548.00,518.00,30.00,36.00,36.00,0.00
1968-69,1968,933.00,103.30,812.00,121.00,13.00,1012.00,939.00,73.00,64.00,62.00,2.00
1969-70,1969,1544.00,65.50,1345.00,199.00,12.90,1459.00,1324.00,135.00,107.00,105.00,2.00
1970-71 ,1970,2388.00,54.70,2064.00,324.00,13.60,1588.00,1424.00,164.00,128.00,125.00,3.00
1971-72 ,1971,3402.00,42.50,2941.00,461.00,13.60,1977.00,1752.00,225.00,167.00,155.00,12.00
1972-73,1972,4304.00,26.50,3664.00,640.00,14.90,2113.00,1888.00,225.00,196.00,181.00,15.00
1973-74 ,1973,4756.00,10.50,3976.00,780.00,16.40,2276.00,1983.00,293.00,198.00,189.00,9.00
1974-75,1974,5033.00,5.80,4080.00,953.00,18.90,2299.00,1961.00,338.00,213.00,199.00,14.00
1975-76 ,1975,5652.00,12.30,4534.00,1118.00,19.80,2603.00,2226.00,377.00,244.00,221.00,23.00
1976-77 ,1976,6407.00,13.40,4876.00,1531.00,23.90,2798.00,2332.00,466.00,216.00,197.00,19.00
1977-78,1977,7201.00,12.40,5349.00,1852.00,25.70,3038.00,2471.00,567.00,196.00,181.00,15.00
1978-79 ,1978,8719.00,21.10,6272.00,2447.00,28.10,3055.00,2480.00,575.00,236.00,206.00,30.00
1979-80 ,1979,11154.00,27.90,7782.00,3372.00,30.20,3647.00,2883.00,764.00,240.00,213.00,27.00
1980-81,1980,15121.00,35.60,10202.00,4919.00,32.50,4218.00,3247.00,971.00,252.00,227.00,25.00
1981-82,1981,20267.00,34.00,13218.00,7049.00,34.80,4935.00,3625.00,1310.00,251.00,230.00,21.00
1982-83 ,1982,24565.00,21.20,15641.00,8924.00,36.30,5321.00,3813.00,1508.00,262.00,228.00,34.00
1983-84 ,1983,32439.00,32.10,20416.00,12023.00,37.10,6190.00,4379.00,1811.00,251.00,225.00,26.00
1984-85 ,1984,39121.00,20.60,24737.00,14384.00,36.80,7101.00,5064.00,2037.00,248.00,223.00,25.00
1985-86 ,1985,42337.00,8.20,27208.00,15129.00,35.70,8070.00,5658.00,2412.00,344.00,299.00,45.00
1986-87,1986,39767.00,-6.10,25962.00,13805.00,34.70,8481.00,5985.00,2496.00,374.00,322.00,52.00
1987-88 ,1987,34651.00,-12.90,23414.00,11237.00,32.40,9197.00,6726.00,2471.00,428.00,380.00,48.00
1988-89,1988,30560.00,-11.80,21143.00,9417.00,30.80,9414.00,6775.00,2639.00,551.00,466.00,85.00
1989-90 ,1989,27347.00,-10.50,19159.00,8188.00,29.90,9677.00,6960.00,2717.00,627.00,534.00,93.00
1990-91 ,1990,25159.00,-8.00,17771.00,7388.00,29.40,9324.00,6563.00,2761.00,676.00,584.00,92.00
1991-92 ,1991,24821.00,-1.30,17685.00,7136.00,28.70,9655.00,6980.00,2675.00,772.00,669.00,103.00
1992-93 ,1992,24519.00,-1.20,17606.00,6913.00,28.20,10353.00,7557.00,2796.00,805.00,689.00,116.00
1993-94 ,1993,24527.00,#,17528.00,6999.00,28.50,10568.00,7836.00,2732.00,810.00,685.00,125.00
1994-95 ,1994,24737.00,0.90,17684.00,7053.00,28.50,10595.00,7805.00,2790.00,887.00,726.00,161.00
1995-96 ,1995,24506.00,-0.90,17757.00,6749.00,27.50,10579.00,7729.00,2850.00,869.00,743.00,126.00
1996-97 ,1996,25422.00,3.70,18527.00,6895.00,27.10,10513.00,7526.00,2987.00,857.00,721.00,136.00
1997-98 ,1997,27829.00,9.50,20372.00,7457.00,26.80,11765.00,8343.00,3422.00,858.00,718.00,140.00
1998-99 ,1998,30552.00,9.80,22289.00,8263.00,27.00,12843.00,8866.00,3977.00,806.00,656.00,150.00
1999-2000 ,1999,37788.00,23.70,27185.00,10603.00,28.10,14990.00,9978.00,5012.00,779.00,648.00,131.00
2000-01 ,2000,44142.00,16.80,31923.00,12219.00,27.70,16911.00,11195.00,5716.00,768.00,632.00,136.00
2001-02 ,2001,50365.00,14.10,36462.00,13903.00,27.60,17173.00,11447.00,5726.00,752.00,581.00,171.00
2002-03,2002,57433.00,14.00,41950.00,15483.00,27.00,19509.00,13267.00,6242.00,816.00,648.00,168.00
2003-04 ,2003,59488.00,3.60,44585.00,14903.00,25.10,20143.00,13868.00,6275.00,909.00,709.00,200.00
2004-05 ,2004,54111.00,-9.00,42125.00,11986.00,22.20,18416.00,13136.00,5280.00,1119.00,905.00,214.00
2005-06,2005,47702.00,-11.80,37905.00,9797.00,20.50,17195.00,12579.00,4616.00,1416.00,1109.00,307.00
2006-07,2006,42164.00,-11.60,34338.00,7826.00,18.60,16232.00,11985.00,4247.00,1595.00,1267.00,328.00
2007-08,2007,38523.00,-8.60,31731.00,6792.00,17.60,17096.00,12516.00,4580.00,1697.00,1322.00,375.00
2008-09 ,2008,37992.00,-1.40,31213.00,6779.00,17.80,17907.00,13063.00,4844.00,1580.00,1226.00,354.00
2009-10 ,2009,39593.00,4.20,32414.00,7179.00,18.10,17955.00,13019.00,4936.00,1599.00,1250.00,349.00
2010-11 ,2010,43066.00,8.80,35477.00,7589.00,17.60,19516.00,14010.00,5506.00,1588.00,1267.00,321.00
2011-12 ,2011,47406.00,10.10,38796.00,8610.00,18.20,20925.00,15132.00,5793.00,1698.00,1332.00,366.00
2012-13 ,2012,50961.00,7.50,41874.00,9087.00,17.80,22782.00,16539.00,6243.00,1834.00,1480.00,354.00
2013-14 ,2013,55271.00,8.50,45320.00,9951.00,18.00,24514.00,17472.00,7042.00,1982.00,1566.00,416.00
2014-15 ,2014,59586.00,7.80,48844.00,10742.00,18.00,31475.00,21893.00,9582.00,1998.00,1548.00,450.00
2015-16 ,2015,64402.00,8.10,52330.00,12072.00,18.70,40130.00,27788.00,12342.00,1989.00,1591.00,398.00
2016-17 ,2016,71416.00,10.90,57763.00,13653.00,19.10,46553.00,32172.00,14381.00,1982.00,1538.00,444.00
2017-18 ,2017,79597.00,11.50,63703.00,15894.00,20.00,46468.00,31397.00,15071.00,2017.00,1580.00,437.00
2018-19 ,2018,88638.00,11.40,70322.00,18316.00,20.70,45671.00,30673.00,14998.00,2224.00,1716.00,508.00
2019-20,2019,97047.00,9.50,76331.00,20716.00,21.30,51521.00,34394.00,17127.00,2414.00,1867.00,547.00

